,CCR4,CCR5,CCR6,CCR7,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD161,CD19,CD1c,CD20,CD209,CD25,CD27,CD3,CD38,CD4,CD40,CD45RA,CD54,CD56,CD57,CD66b,CD8,CD80,CD86,CHIKV,CX3CR1,CXCR3,CXCR5,DNA,HLADR,PD1
b_cell_memory_1,0.206923100566,0.139951897536,0.541481662342,0.279959130804,0.322815275146,0.23335702373,0.0930819045547,0.166246279733,0.138112904352,0.172199455369,0.30054288758,0.10269226856,0.647613593739,0.385467755175,0.714267580949,0.0666469059061,0.247011924425,0.377195776995,0.1494162899,0.311858711692,0.107650211057,0.703572388429,0.662945581433,0.337610762628,0.157056522373,0.128573923765,0.200582827654,0.0889632771588,0.188695350674,0.149129887493,0.206390369317,0.0455309222201,0.164364527283,0.572722755796,0.833358114279,0.654553035443,0.0589622432863
b_cell_naive_1,0.679484295886,0.130795911544,0.460356612291,0.378619039877,0.290656908237,0.150330210941,0.109374376234,0.106827888935,0.155547446878,0.127568071406,0.2129975211,0.102528180868,0.456435188655,0.196355247418,0.550760734811,0.0859397705077,0.159585552661,0.105775791711,0.164729229739,0.432524232641,0.0904856725326,0.665515987444,0.465334868503,0.16448874298,0.212241888205,0.0931798001971,0.177362742818,0.0580252595309,0.303553075644,0.11419455032,0.148706788782,0.0835784605224,0.338174940909,0.478173599517,0.824138894573,0.556202574282,0.0503394710375
b_cell_naive_2,0.267300011309,0.208334527515,0.625946385562,0.169433091871,0.383113043398,0.491324002092,0.155975963023,0.284246186465,0.176699773611,0.261063369708,0.424758773781,0.13111646032,0.745832127215,0.49380358228,0.82893180596,0.12213960556,0.205365251304,0.345925879773,0.163391070532,0.325605650879,0.158865098236,0.700227142706,0.71969630153,0.393264714136,0.193108599313,0.169591007298,0.309478024374,0.147887594792,0.28980691648,0.257106134607,0.266549112112,0.0670390868694,0.466155291571,0.4418846167,0.849995430662,0.714986113421,0.107991745651
b_cell_naive_3,0.231755054747,0.157186263337,0.536468239451,0.125129082059,0.336917754946,0.585145369684,0.0916504650094,0.254920968136,0.130077870955,0.177044972386,0.399795700734,0.0858720366358,0.734937749865,0.229075722235,0.813091419957,0.0749495681024,0.11694374337,0.121713778415,0.146129024769,0.207598803378,0.124865256487,0.562987063824,0.590370425014,0.334914568062,0.145594671386,0.126660430011,0.271705332921,0.113076471586,0.184302476193,0.225580094024,0.242363821075,0.0518118790917,0.196371018202,0.18693614766,0.829347769296,0.668891584955,0.166827270465
b_cell_naive_4,0.188370306365,0.0876939685768,0.567336914657,0.45939096726,0.317875100841,0.10777425478,0.154701273375,0.131250644478,0.112276382597,0.126294225792,0.255451527622,0.0866464587677,0.626768847377,0.250585937485,0.676734488888,0.0639362095865,0.162321876449,0.0594108195634,0.134750294685,0.427527344571,0.0843897044691,0.711621996063,0.592591690704,0.254949534854,0.140503163385,0.116159356305,0.168380215511,0.0625454167433,0.116724864635,0.100272988896,0.204563230955,0.0453270854854,0.0825125895019,0.706431796643,0.812627415868,0.674252019641,0.0444818705565
b_cell_plasmablast_1,0.297973926963,0.0929165661431,0.209718438298,0.403448409775,0.221407766023,0.120223137906,0.137505823327,0.0616047544935,0.122307136911,0.102927205366,0.13923316192,0.203051826981,0.472791266598,0.109117032152,0.281386502058,0.106136931089,0.358642728683,0.489224424799,0.335185877243,0.727664256175,0.0911318522152,0.508394839039,0.547820240201,0.283138524885,0.167895123211,0.0947820556851,0.109908387963,0.061585788965,0.188527248065,0.353265398144,0.11236136847,0.198699251126,0.254114744544,0.178298775266,0.862823931393,0.546340836577,0.0500555658024
b_cell_transitional_1,0.203291735674,0.112569054345,0.479847630105,0.306261793278,0.295465224462,0.0986900544955,0.205549889535,0.181595736563,0.110412831787,0.143674520279,0.323302622761,0.110267619918,0.6130878148,0.223023060452,0.741162924949,0.0710816635924,0.220777657742,0.0489365413529,0.193419317924,0.653406712082,0.0882499257629,0.69762631956,0.61342111081,0.23547509469,0.136842024506,0.112511457785,0.20754795716,0.0715518612831,0.123955817473,0.138802837872,0.168612604275,0.0824855672538,0.0712221157355,0.573842659682,0.808223904514,0.649040441616,0.0475280967624
b_cell_transitional_2,0.204850806633,0.112608185081,0.492944295282,0.31268940672,0.298371439823,0.098339890528,0.204826678932,0.181663179034,0.110942962157,0.144042092085,0.323687067119,0.110002499077,0.615088658792,0.230616168754,0.740876833841,0.0715195645904,0.218415989412,0.0491755788556,0.191129524975,0.64876144359,0.088799887495,0.706699573305,0.614721325869,0.236176899512,0.138053242868,0.112688115648,0.208136846349,0.07170270193,0.125191714898,0.138348393706,0.172489375473,0.0814084468708,0.0708175738769,0.610576922191,0.807859635869,0.652891080522,0.0473045798425
basophil_1,0.126050705236,0.158646057361,0.0700139708194,0.163326873342,0.543514576636,0.337167434272,0.75586399402,0.0373447283132,0.102990262289,0.0216506088573,0.0710574199261,0.0790152560661,0.0391365443411,0.0248736539504,0.0466651488126,0.0402758478902,0.414057909238,0.0558220451772,0.242149531597,0.62755624934,0.0624231426628,0.117826102844,0.160060911866,0.220033092775,0.0738310710513,0.0595608805143,0.0436111354794,0.0389126529878,0.0406251606048,0.0275806541551,0.0228402600498,0.0623538361421,0.0424885022355,0.0879368707157,0.82429996259,0.0852823263771,0.0287676989441
cd14_cd16_monocyte_1,0.192097975297,0.174338505807,0.095895206749,0.226475642677,0.630568461279,0.640322018659,0.221481662598,0.0820189843229,0.58292156947,0.217755261715,0.670005240845,0.374689680755,0.151700691622,0.119565989583,0.113356909516,0.158251681946,0.254294098542,0.106114286859,0.291305870013,0.670053147471,0.325764176137,0.365051144016,0.489580280047,0.465456081147,0.377016491456,0.340373982585,0.201953599677,0.176262766181,0.164810372182,0.38453197394,0.186259486791,0.291647462136,0.0977305140499,0.0844128566809,0.875065793775,0.451462395656,0.114774793092
cd14_cd16_monocyte_2,0.19618804327,0.272340086231,0.0727838402788,0.122445536574,0.748945263373,0.793478961622,0.43965414906,0.0402475343795,0.698179700054,0.288500203716,0.363181968401,0.0704465463341,0.0772291502291,0.0831955233806,0.119267887341,0.12875771384,0.104906279426,0.0704254073306,0.180071494217,0.519890441833,0.463016776415,0.583006453742,0.292347032409,0.691873919625,0.132928463098,0.169971398323,0.0911663878921,0.0988229582802,0.122074398184,0.652411524988,0.204933785924,0.177529549135,0.0893105607509,0.0781231436578,0.856473460144,0.71056752137,0.15094348494
cd14_monocyte_1,0.185497398291,0.183294077965,0.0687166422983,0.243976196746,0.783228867114,0.710267176567,0.339797300161,0.0334553424559,0.810357725119,0.240420889834,0.131953385331,0.078455512067,0.0670120693821,0.048580914155,0.110893674636,0.196686947583,0.151467715914,0.071370431053,0.227897724024,0.613878328197,0.386594229374,0.427693579427,0.285253313635,0.570012374565,0.121628899475,0.134781913453,0.103620422132,0.0728718530813,0.0941110718809,0.576834318596,0.329611813263,0.302170636629,0.0676090567158,0.124345264642,0.860891479961,0.578725602011,0.0973268343736
cd14_monocyte_2,0.170814308368,0.126411201815,0.0650219249285,0.128798975857,0.760630756119,0.69814289906,0.195856460853,0.026530167148,0.764034302402,0.15653866391,0.0900662050811,0.0533659475274,0.0503457763753,0.0428245307462,0.0766626964357,0.097687525841,0.0925552623518,0.0596436409761,0.17082470874,0.543829890408,0.369866027069,0.274151259245,0.213958410417,0.502654658264,0.105146963705,0.129232250578,0.0931293222674,0.0641984563433,0.0698545285492,0.505842696173,0.222929275896,0.165635925754,0.0543443353597,0.0599048068322,0.855421368538,0.53078484972,0.0981507865714
cd14_monocyte_3,0.673454079727,0.201363734845,0.256246543829,0.239223081457,0.674996430817,0.628835697978,0.201838928898,0.0376895501389,0.699800438327,0.168713809297,0.132367311747,0.0816352544637,0.0583004667148,0.0471325777666,0.0955287856863,0.14327221407,0.12094367783,0.0682232117465,0.175292312701,0.526910874957,0.316876099251,0.488594274607,0.222108231467,0.400433289619,0.202610444218,0.113988669994,0.221273626719,0.0591495327407,0.298804049845,0.412988017749,0.213835361957,0.199498142513,0.329165989918,0.0971784732735,0.84228472436,0.516946714751,0.0946135794086
cd16_monocyte_1,0.134451159462,0.127858364075,0.0611870273463,0.0641538637158,0.468040117953,0.824066531944,0.446687515277,0.0511040309876,0.287443787782,0.290985945956,0.678191002407,0.05588465521,0.11649513728,0.106337554786,0.0986165203977,0.0599663455013,0.0686701065545,0.0615481250629,0.13084855346,0.269160508399,0.381737380357,0.50241348844,0.449100349771,0.669816294703,0.109745038189,0.178097964197,0.0828145174282,0.140192517257,0.0907889353132,0.614227324666,0.0913598013097,0.16514237314,0.0627741544425,0.0584382668599,0.847801738267,0.63992607021,0.164608387868
cd4_cd8_t_cell_1,0.218291596514,0.207841899575,0.137100569153,0.743223927184,0.118162187692,0.139598814484,0.0590914004479,0.622992128108,0.147671259786,0.140067031651,0.151149073007,0.257150672383,0.108873641452,0.08553029486,0.0900222111911,0.10082384874,0.268352992734,0.779803496261,0.844105414311,0.490343818433,0.732309261412,0.124426263882,0.493590650542,0.167323939347,0.197223629803,0.246729598099,0.107808381496,0.554398194063,0.185294741065,0.0598806988854,0.0545237810425,0.117952202976,0.308004441355,0.0692322149152,0.899578092667,0.171028971787,0.147834027032
cd4_neg_cd8_neg_t_cell_2,0.123895617781,0.213018838717,0.0631834797701,0.458806276246,0.087486287169,0.0757658933767,0.048378724619,0.0763455798679,0.108959041099,0.0657235241369,0.0724334635685,0.177896230706,0.0797558704494,0.0426301164514,0.0447068998044,0.0723053194734,0.279607744693,0.74780965242,0.712369807814,0.703709848531,0.0950826587368,0.107667518501,0.486794684665,0.0867225040073,0.120772586159,0.226897385577,0.0940394961001,0.173551020584,0.0613146105334,0.075566197006,0.0358349638008,0.11550172288,0.253126938549,0.0716840428847,0.852546826499,0.319509657485,0.140660312642
cd4_neg_cd8_neg_t_cell_3,0.131301918193,0.456374490703,0.18084611839,0.189782834475,0.12511583871,0.0929811163532,0.0250534949976,0.427268954589,0.0659301927944,0.0193464534174,0.0910232985475,0.571901732795,0.0334586165987,0.031559076022,0.0483990549305,0.167819074965,0.132131032035,0.454297064456,0.792106856626,0.27873705964,0.051423918983,0.0682705964355,0.184575718871,0.184583740747,0.106815564354,0.200498114992,0.0627462005182,0.113143278562,0.0474976700245,0.021290038526,0.0403308652683,0.0976115953502,0.224390528378,0.0182077536276,0.826386575656,0.126008233722,0.106835828445
cd4_neg_cd8_neg_t_cell_4,0.0867454059312,0.0519564928489,0.046678928296,0.384679132235,0.058206462329,0.0651089437377,0.0216637912888,0.340630574407,0.0582996178615,0.0355349267346,0.0483061465786,0.103591323288,0.037645721633,0.0282089445721,0.0388925898342,0.045293988137,0.103403976715,0.675665915128,0.658353261053,0.288374951601,0.069280442589,0.0543707091524,0.357732577687,0.120526378739,0.0668409926757,0.119000242352,0.04484236802,0.106610813206,0.0319338699175,0.0200634608939,0.0198674324803,0.0398379591757,0.317890109263,0.0403552893552,0.82196260219,0.0838590600498,0.152032834578
cd4_neg_cd8_neg_t_cell_NA,0.0882643657316,0.346260668888,0.0996870825358,0.196628766158,0.229514437359,0.192401709411,0.0829538431806,0.309322538937,0.162773698531,0.0334587387537,0.222237850541,0.505987695317,0.0704865929182,0.065461847512,0.0564353887531,0.128813963621,0.231911247584,0.397822808802,0.840693835519,0.362359796631,0.069905074658,0.0847081241358,0.302133527447,0.232760285899,0.43545363408,0.453554903801,0.234483775,0.0946462732267,0.0766799141888,0.0297665525162,0.0403346901636,0.143186101496,0.218593981681,0.0214045856215,0.833398714256,0.192024021044,0.119043570788
cd4_t_cell_cm_1,0.511646704646,0.152657189147,0.199930495331,0.329897604929,0.0469433915694,0.0400892626616,0.0270068546806,0.516039348675,0.0557681214407,0.0788919884248,0.0632530414879,0.201189212615,0.0504504749836,0.0446918714126,0.0560114377838,0.0588687691754,0.290745460884,0.534092294584,0.725812848101,0.189756414131,0.773632962109,0.125231460434,0.145630909791,0.111096592421,0.155996732637,0.123960204567,0.0449434053333,0.206389515207,0.138995146648,0.0273724795479,0.0263234232953,0.0484415897841,0.218883247828,0.0455775437897,0.830235823677,0.109846776243,0.198219920274
cd4_t_cell_cm_2,0.325330694945,0.0531740883004,0.150176293968,0.508641148836,0.030816541122,0.0371649268156,0.0277433313298,0.437949023337,0.0513337818202,0.0750720349222,0.0599385066151,0.239088263505,0.0497087071418,0.0396672613984,0.0538940975722,0.0570960420532,0.149386785342,0.672125756856,0.744698965641,0.30400826659,0.76975436581,0.0801370936544,0.151046281798,0.0552938231843,0.141204989336,0.120125769138,0.0377491636532,0.198523783624,0.0622674588233,0.0245838661715,0.0238294110514,0.049179378218,0.184989993292,0.447532225023,0.827598053166,0.0791710213785,0.270614969955
cd4_t_cell_cm_3,0.403116776717,0.191385182207,0.113163483411,0.443781930514,0.0580019633696,0.0427559650186,0.0288651104671,0.215757966252,0.0644382416209,0.0822020925931,0.0670713435059,0.136891862922,0.053089351716,0.0412648292154,0.0586340374678,0.0581907079494,0.368129513129,0.65716402228,0.754543890331,0.444649570476,0.771717627959,0.122486475024,0.189015953155,0.089857185176,0.163193809006,0.140848597521,0.0475460816256,0.222403906408,0.131601089937,0.0519038477108,0.0317114559081,0.0726599383813,0.270282743746,0.0911336827994,0.827277398703,0.186924121533,0.293792275931
cd4_t_cell_em_NA,0.512329853889,0.181028871498,0.144958606597,0.155902387602,0.0754601929477,0.0438086509682,0.042318676527,0.529244303015,0.0649311643378,0.0791692594027,0.0660430913419,0.172118908063,0.0504176849136,0.0471358225076,0.0563798287246,0.0433044721653,0.343387675047,0.078828887186,0.692140126127,0.145352334493,0.773168042586,0.13868716052,0.148098553495,0.180219930433,0.161304629137,0.182133827115,0.0620501712198,0.202877919828,0.169204903185,0.0265556018044,0.0252223402618,0.0592320158795,0.110543597197,0.0208202214214,0.84103322113,0.130164645737,0.215602802468
cd4_t_cell_naive_1,0.103397979743,0.033698859286,0.0450412333022,0.710408939313,0.0252848601963,0.0411812558167,0.0246964906999,0.459025508311,0.0602540640158,0.08546563573,0.0622948064616,0.0821995710524,0.0547441182348,0.0428918162557,0.0410561640281,0.0295246878854,0.153755345657,0.704765032649,0.786512265317,0.460084952419,0.747774333436,0.0627312519111,0.36007040741,0.0429939594886,0.138793874891,0.101448277836,0.0426765006177,0.180379812779,0.0361012771348,0.0206173655506,0.0233489319873,0.0588958346107,0.0412730749513,0.0230462851673,0.823061489348,0.0534352405528,0.04048926949
cd4_t_cell_treg_1,0.269708966313,0.109831641307,0.0813527071321,0.493594070014,0.0381568939172,0.0375139510725,0.0247586421643,0.185594729538,0.0575284800628,0.0731479383646,0.0574238859158,0.102371033111,0.0489808626625,0.0340441496282,0.0444681510376,0.0391138908079,0.459624958191,0.673716894956,0.747021925005,0.37028465352,0.739795861391,0.0889558280268,0.23895685762,0.0723845434477,0.141361322447,0.114850786838,0.0400867381778,0.182644010518,0.0849345101977,0.0320071245105,0.0250418777726,0.0559749086942,0.147737480286,0.0820828350971,0.822198584378,0.115036009543,0.17541305726
cd8_t_cell_cm_1,0.110402815123,0.222852194957,0.0533436866732,0.182182472357,0.128083081807,0.113332826416,0.0422943553999,0.212959176043,0.102338360496,0.0428678999077,0.103064261317,0.130595991883,0.0563428221266,0.0462320526817,0.0654653238715,0.0563410842385,0.158307532011,0.461194388761,0.706731425033,0.373203283953,0.0790408002683,0.0655691628876,0.308552795909,0.202038456843,0.110251647987,0.312780017161,0.122530764059,0.568288731084,0.137320325411,0.0489375125776,0.0292365946357,0.0904143675991,0.314864448357,0.0297616533024,0.830896162909,0.235881876499,0.246453623416
cd8_t_cell_naive_1,0.0623213502284,0.0351532789146,0.0429399770168,0.692560354764,0.0272807019034,0.0525449892482,0.0251126577113,0.482408814221,0.0655261262632,0.0545173520094,0.0602381320151,0.0783715431186,0.051527786621,0.0400687845916,0.0378716361363,0.0336230231925,0.114932027363,0.717587152447,0.723734495181,0.352955114035,0.0594633533329,0.0525387633773,0.463369273653,0.065149975128,0.0667089156966,0.109727510476,0.0462901566932,0.576496560656,0.108975940101,0.0209809228852,0.021801637046,0.0411568075663,0.230452947872,0.0187762661245,0.832518162212,0.0592901144027,0.0297747134024
cd8_t_cell_naive_2,0.556857420001,0.172620050934,0.186564979474,0.483065888511,0.0688221679879,0.0691896279626,0.0304872371672,0.374259192167,0.0828713037322,0.0472168061966,0.0631659428866,0.175397538809,0.0429782823084,0.0348883963719,0.048188826702,0.0744269004196,0.124247929758,0.536918856415,0.690779071075,0.29789698965,0.0601680968158,0.217823105886,0.320321230905,0.0774574336883,0.126592568637,0.124346142811,0.0884941277042,0.375324065806,0.182349371517,0.0353486376139,0.036481806473,0.0614516553545,0.360607861326,0.0375860445815,0.817478193516,0.109702736033,0.0600187135771
ilc_1,0.288526397872,0.0531499797409,0.115705236821,0.0854238712221,0.32186761536,0.40568855509,0.0473701014749,0.35605272559,0.0241174444809,0.0372345083105,0.0247046973138,0.422000143327,0.0300919830593,0.0219536478781,0.0246445848957,0.0985551165116,0.653081002403,0.0410881081294,0.0853429384925,0.156562591006,0.0498966567601,0.0694444968747,0.307004386162,0.346777455333,0.0549976931809,0.0713500500471,0.0298197560144,0.0217124923461,0.0647935431472,0.0180451360496,0.0110396145409,0.0131042174063,0.097386807964,0.0154706213723,0.798356958604,0.110844121213,0.0274160806626
ilc_2,0.492987445813,0.0714763578452,0.245904753148,0.0762448071971,0.220854860084,0.117772740278,0.0305908390778,0.582660062779,0.0449943156216,0.0249966982676,0.0475103153694,0.721815324817,0.0272417409812,0.0290592897009,0.0599641166677,0.247186247091,0.635640048095,0.0500500324885,0.0786098621716,0.134466560378,0.040564199124,0.106155832972,0.275291790278,0.248331741181,0.127584235111,0.0870260914213,0.0367677209998,0.0226322786175,0.110906347316,0.0159739818058,0.0132295586592,0.0203243077425,0.058841797216,0.0169241132681,0.807947020976,0.0556364334733,0.0163112010784
mdc_cd141_1,0.190974888911,0.382747714757,0.172783452691,0.19429514991,0.263863433751,0.611357195877,0.144161550451,0.0298779831304,0.164198022431,0.914677820828,0.0803820812351,0.0760570254669,0.0708519670417,0.123486651073,0.152246304436,0.160900219178,0.176275342582,0.0526316649266,0.226605373444,0.671687647335,0.34174099104,0.389829689943,0.23396649718,0.765718114174,0.117821485268,0.0897214713488,0.0527856129829,0.0906009627545,0.242490169027,0.273346571339,0.13683773503,0.154796046097,0.544096080265,0.124534254999,0.876372978221,0.673121870862,0.178471340045
mdc_cd1c_1,0.11377815911,0.561331069027,0.205878264099,0.1563086962,0.438181057112,0.80774507726,0.374975012067,0.0422892514622,0.147737542922,0.320107338059,0.0834998957895,0.0716241109767,0.0697735161262,0.545616466936,0.066953071902,0.135029884351,0.154365448714,0.0817894909301,0.230666833757,0.571833168053,0.461278719901,0.243032682645,0.271511740528,0.577889135069,0.152425479625,0.108961985107,0.0635428307024,0.101631525514,0.115588340472,0.377955290323,0.145733709595,0.116875454522,0.149461777561,0.0639643337138,0.859431472376,0.765663296635,0.180355869954
mdc_cd1c_2,0.144047653768,0.618937744136,0.143484910226,0.177969879994,0.436681293343,0.79486419796,0.554041062425,0.042823431942,0.182440838143,0.494614312981,0.0843759755778,0.0864411224404,0.0794629288037,0.334095994693,0.0889718700345,0.170093468087,0.159197474329,0.0807697588775,0.230703621481,0.610203886617,0.460367741689,0.315849001565,0.406222744759,0.649250870098,0.254779600764,0.113840026336,0.0717859251669,0.0982255813788,0.156342761917,0.391945360121,0.171268231407,0.147959657624,0.260420596244,0.0987679515301,0.856198930959,0.774045384708,0.166468843564
mdc_other_1,0.724437497751,0.227135701903,0.362669792678,0.268485513887,0.444828591924,0.623538019103,0.26097739921,0.0391468130464,0.322147895667,0.125835307922,0.146562761864,0.0731017057462,0.0498594972211,0.08450130846,0.0728012977204,0.116090995441,0.0949022834781,0.0607384455878,0.138117637476,0.344541441465,0.247175174228,0.428585853603,0.2259508154,0.338089955723,0.240264860848,0.0774179171666,0.24098683485,0.0451022910981,0.321758268453,0.306917684508,0.0876308760991,0.146006060603,0.511520144689,0.0816022023828,0.815293237229,0.562537754214,0.0758876231472
mdc_other_2,0.176768055367,0.26205979864,0.120662666834,0.105224218661,0.42638900862,0.697366359181,0.303040091483,0.0225421622959,0.270792157544,0.176688766623,0.103907758839,0.0468364642491,0.0429457208773,0.144714344042,0.0583384452065,0.105718071873,0.076039317129,0.0525598213801,0.151032699096,0.378427227148,0.294713720494,0.279315701194,0.245447085339,0.464394184478,0.112597986852,0.0934525816201,0.0556906824817,0.0539837226485,0.080643989989,0.3782438684,0.0888861154348,0.13494127994,0.107023981156,0.0534836346245,0.86304663456,0.625296066222,0.102358432251
nk_cell_cd56hi_cd16low_NA,0.134954865294,0.142452368009,0.0532974445179,0.158478965869,0.355649751975,0.625340910164,0.0504325592757,0.159191536967,0.0946187927395,0.0360061710484,0.194208489027,0.318630388032,0.0420782521617,0.0287451799253,0.0500049984602,0.0667829190063,0.201717048532,0.203493068954,0.136872242164,0.586464984089,0.04303230903,0.127210738784,0.331554147834,0.402140390517,0.81177543629,0.102984531509,0.0432672427726,0.0516816356076,0.432872274838,0.0201651218488,0.0279335942195,0.0590541623137,0.215300589221,0.018695895905,0.811779065073,0.152098748976,0.0570966929471
nk_cell_cd56low_cd16hi_1,0.0994539151045,0.097650442066,0.0819236216526,0.133698847608,0.311966323854,0.451872741707,0.180274733737,0.126517038806,0.299897228348,0.122337968766,0.715165291319,0.443629616108,0.181366375648,0.170274083092,0.0548024474492,0.081485234398,0.386183378393,0.103612927661,0.24438645603,0.638584417325,0.141068472336,0.221094227167,0.571405194025,0.194535820793,0.638650750341,0.736358371453,0.47860489628,0.151390277232,0.191631300723,0.0478840260586,0.0404602275879,0.156636153982,0.0499539421604,0.0288712237738,0.830098008529,0.272285147262,0.0396963143196
nk_cell_cd56low_cd16hi_2,0.073598229476,0.164558710586,0.041133881261,0.118298510335,0.271534171365,0.148331886497,0.0441561583926,0.0378048352407,0.0831242155368,0.0723529040457,0.606339931431,0.444388843167,0.0730562168967,0.0601405193988,0.0408242341486,0.0877110662792,0.16725506413,0.0903384465444,0.176764153857,0.611874698713,0.0656735974135,0.165199290603,0.443336375816,0.301431661156,0.541452351154,0.156819348068,0.0587766263319,0.0879443960537,0.132829104321,0.0201209395887,0.0210245023782,0.156385351271,0.101151634236,0.0181146571173,0.821683734583,0.134710499799,0.0210743306416
nk_cell_cd56low_cd16hi_3,0.0793032280327,0.113929397454,0.0381238493614,0.105658433492,0.285978676977,0.534669891148,0.0392042719681,0.0433415700151,0.0831783829423,0.0717766279461,0.659322258337,0.175471747401,0.0785904130596,0.0616191429909,0.0399098781883,0.0445141216185,0.145053379691,0.0636031880519,0.15756746887,0.611254095383,0.0684076012569,0.173713603412,0.410998061204,0.289807486854,0.639556920597,0.158164967636,0.0565491140191,0.0973779836098,0.200749950944,0.0225893135624,0.0241058628106,0.129320677057,0.092755956956,0.019604373604,0.81665269177,0.153961238093,0.0433289073746
